Metabolite_name,blank_01,blank_02,blank_03,blank_04,Cultures_QC_01,Cultures_QC_02,POS_BDS_EC_IPLs,POS_Cultures_Pooled_QC_01,POS_Cultures_Pooled_QC_02,POS_Cultures_Pooled_QC_03,POS_Cultures_Pooled_QC_04,POS_Cultures_Pooled_QC_05,POS_Cultures_Pooled_QC_06,POS_u_DA_IPLs,POS_u_EC_IPLs,POS_u_H_IPLs,POS_u_S_IPLs,POS_u2_EC_IPLs,POS_u2_y_IPLs
Unknown,772,660,665,0,0,0,34243,0,0,0,0,882,0,1054,0,2664,3373,0,0
w/o MS2:RIKEN P-VS1 ID-134 from Mouse_Macrophage_WT_N_F1AA,525,612,729,0,14709,14153,795,13013,13361,15029,14750,458,14478,1264,4476,17583,17594,8108,9620
Unknown,222,217,66,0,13702,13826,883,10892,12498,13197,14127,208,13027,125,27797,1800,1552,46496,3142
Unknown,65,122,154,0,3321,3119,1220,3215,3256,2791,3318,118,2761,105,2819,637,305,12928,2229
w/o MS2:Nicotinamide,165,182,116,0,5896,7208,1656,4975,4841,6519,7791,213,6187,145,11000,354,6206,10450,726
Unknown,65,91,0,0,7899,8129,53,5799,6870,6404,8108,0,6206,0,11100,4173,7332,12379,7453
Unknown,793,764,689,0,3535,3972,805,3050,3452,3178,3817,631,2847,555,754,569,12009,830,720
Unknown,509,312,390,0,2010,2132,13252,2113,2172,2428,1903,230,2131,359,559,891,372,617,485
w/o MS2:NAE 4:0,138,111,174,0,6995,6601,242,5532,6094,6222,6671,76,6997,65,12185,580,3652,15405,2109
Unknown,62,242,180,0,3338,3661,350,3398,3540,3176,3586,76,3734,286,332,594,18983,368,303
Unknown,126,214,266,0,11109,10891,1202,8548,9672,11350,11193,365,10269,278,20344,14724,4380,20873,3728
Unknown,733,717,772,0,1840,1671,7006,1917,1472,1554,1741,470,1900,710,1981,1345,1722,2554,1111
Unknown,142,59,133,0,1926,2340,260,2142,1928,2302,2354,137,1934,0,2672,185,706,10742,505
Unknown,635,536,549,0,2750,3966,742,3989,3347,4386,3969,340,3615,460,451,509,14126,526,378
Unknown,248,122,77,0,15802,16204,79,13429,12546,15403,15611,250,14000,60,585,137,7897,640,52838
Unknown,0,0,0,0,1106,1578,239,1285,912,1052,775,0,929,53,3010,0,323,7217,166
Unknown,4880,3188,3018,0,4570,2689,5922,2520,2865,3049,1965,1619,3140,3169,3377,14296,3414,3176,3975
Unknown,2581,1958,1802,0,15068,12717,11174,12348,13501,14126,14146,598,13134,1892,2432,2741,2854,3075,3097
Unknown,2371,2122,2059,0,7665,6370,17536,7334,5358,5483,6858,414,6521,2264,4436,3380,2826,5633,3512
Unknown,3296,2952,3025,0,17822,18142,82910,18886,17496,19856,18887,1450,17255,3469,7747,3184,3347,4930,2928
Unknown,77,0,0,0,2821,2952,91,2480,2748,2875,2793,68,3184,0,269,10804,115,99,602
Unknown,138,106,171,0,24014,9401,18387,11936,10159,9572,10535,11418,9614,17326,22855,18626,15796,17099,24725
w/o MS2:1-Phenoxy-2-propanol (also known as chemical regent),54,190,97,0,3768,5099,1180,4743,5698,5358,5568,139,5592,124,253,11052,628,515,277
Unknown,5514,7155,6751,0,7631,8280,8393,6639,7100,7273,7016,7688,7123,7500,7363,7377,8121,7358,8462
Unknown,1267,1502,1451,0,14103,13584,42961,13038,14256,13844,14301,656,13973,2279,15421,1353,1415,11517,3306
Unknown,226,306,264,0,3154,2573,230,2754,2335,2567,2919,125,3052,246,147,335,15471,187,175
w/o MS2:Phenylalanine,87,210,105,0,2440,3295,258,2883,3015,3024,3647,0,3556,57,5617,584,836,7105,866
Unknown,4640,5844,7589,0,8435,8528,7256,8514,9672,8566,9287,8600,9195,7559,7489,7654,7893,8119,7003
Unknown,162,230,167,0,19091,22891,2914,18152,22480,22360,24424,195,22725,77,2437,46898,366,2944,445
Unknown,0,0,72,0,1061,981,0,874,1035,826,586,0,336,0,109,6565,0,0,0
Unknown,57,0,0,0,4168,4639,233,4514,4470,4966,4112,57,4499,0,6637,935,782,10144,714
Unknown,61,96,81,0,4049,4574,91,4375,4412,4239,4863,0,3876,249,0,274,20734,0,58
Unknown,165,106,126,0,61112,77830,205,64836,71383,77475,76219,350,78760,132,131,489,396703,96,115
Unknown,83,62,156,0,6313,7858,11820,6554,7630,8201,7817,75,8162,0,4149,14162,216,5052,270
Unknown,110,54,100,0,5273,524,1901,10307,1758,828,505,552,417,1835,2399,3853,2257,2201,7028
Unknown,18612,18309,18135,0,18303,18386,17247,18311,17431,19120,17384,16476,17302,14894,18217,12968,15214,16783,16062
Unknown,50187,53938,53472,0,35267,31047,43052,29708,31802,30143,30746,47708,31348,49636,31897,43259,32496,21726,37815
Unknown,2749,3803,3937,0,8814,8610,4248,7414,7498,8202,9162,4264,8247,4479,5180,3917,3461,4524,4016
Unknown,104,158,112,0,16662,18948,321,18131,18854,19178,18227,271,18983,125,98,325,79186,0,230
Unknown,312,66,305,0,5101,5902,7272,4763,1508,3281,4412,272,4363,332,2845,535,0,3608,337
Unknown,52,82,64,0,3245,3406,11909,2090,3048,3163,3338,0,3234,59,2840,76,65,7043,84
Unknown,52,82,58,0,3086,3534,15983,2090,3048,3163,3338,62,3234,0,2840,118,101,5099,58
Unknown,638,985,502,0,2213,2828,431,2397,2798,2682,3618,665,3160,476,726,417,16263,373,231
Unknown,244,205,143,0,2852,4173,246,3223,3656,3500,3759,110,4071,152,272,288,15249,168,271
Unknown,52,0,172,0,2716,2849,126,2516,3223,3186,3241,69,2691,166,0,0,189,0,11913
Unknown,585,576,619,0,2998,2750,9494,2873,3377,3204,3264,635,3177,522,5045,843,1524,4349,653
Unknown,76,203,165,0,1020,1139,8031,1025,1168,1612,1097,56,1131,61,698,117,943,1130,133
Unknown,255,177,106,0,6088,7147,35451,6487,7129,7690,7562,157,7514,398,533,549,187,337,235
Unknown,5557,9532,10954,0,11463,9815,12779,6742,9332,9777,10492,11450,10939,12410,12775,12372,12300,12885,11057
Unknown,240,92,220,0,2578,3177,386,2626,3359,2984,3100,54,3350,430,336,315,9141,319,235
Unknown,0,81,54,0,2980,3504,0,2282,3088,3003,3340,82,3120,62,0,0,9892,0,56
Unknown,383,471,110,0,2292,2513,359,2412,2161,2561,2680,62,2216,421,155,260,9696,440,472
Unknown,229,309,287,0,1244,1131,7520,1308,826,1028,1290,255,955,286,248,395,823,237,255
Unknown,70,165,129,0,3228,2294,86,2616,2484,2423,2800,67,2862,128,5858,115,97,4303,5440
Unknown,0,0,0,0,32000,27524,5378,26690,29106,28598,32528,829,27407,0,56274,0,1372,155883,101
